name,implementation,binary,trials,median_page_fault_count,median_branch_miss_count,median_elapsed_sec,oracle_passed,returncodes,attached_samples,detached_samples,page_fault_count_samples,branch_miss_count_samples,elapsed_sec_samples
ks_generated,kernelscript,results/build/perf_event_loader/kernelscript/perf_page_fault,5,9,71,0.013295683000251302,True,0 0 0 0 0,True True True True True,True True True True True,9 9 9 9 9,42 163 173 6 71,0.03159537900137366 0.014808406000156538 0.013295683000251302 0.010299874000338605 0.012117017000491614
c_libbpf,handwritten_c,results/build/perf_event_loader/handwritten/perf_event_loader_baseline,5,2,84,0.011869104000652442,True,0 0 0 0 0,True True True True True,True True True True True,2 2 2 2 2,84 67 55 165 219,0.0130031640001107 0.011111693998827832 0.010808708999320515 0.011869104000652442 0.019790231999650132
