name,implementation,object,trials,target_events,poll_every,median_submitted,median_received,median_dropped,median_elapsed_sec,median_event_rate_mps,min_event_rate_mps,max_event_rate_mps,oracle_passed,returncodes,submitted_samples,received_samples,dropped_samples,bad_size_samples,bad_marker_samples,bad_retval_samples,run_error_samples,elapsed_sec_samples,event_rate_mps_samples
ks_generated,kernelscript,results/build/ringbuf_workload/kernelscript/ringbuf_emit.ebpf.o,10,50000,128,50000.0,50000.0,0.0,0.024023668499999998,2.0812883214999998,2.039879564,2.107355873,True,0 0 0 0 0 0 0 0 0 0,50000 50000 50000 50000 50000 50000 50000 50000 50000 50000,50000 50000 50000 50000 50000 50000 50000 50000 50000 50000,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0.023851143 0.024511251 0.024145222 0.023947025 0.023978 0.024211847 0.023930693 0.023726415 0.024445916 0.024069337,2.096335593 2.039879564 2.070803077 2.08794203 2.085244808 2.06510474 2.08936699 2.107355873 2.045331416 2.077331835
c_libbpf,handwritten_c,results/build/ringbuf_workload/handwritten/ringbuf_emit.o,10,50000,128,50000.0,50000.0,0.0,0.0233454465,2.1420583850000003,2.013552903,2.201144939,True,0 0 0 0 0 0 0 0 0 0,50000 50000 50000 50000 50000 50000 50000 50000 50000 50000,50000 50000 50000 50000 50000 50000 50000 50000 50000 50000,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0,0.023672186 0.022715451 0.023627692 0.022864956 0.024831729 0.02290617 0.02272116 0.024594273 0.024226562 0.023063201,2.112183471 2.201144939 2.116160986 2.186752513 2.013552903 2.182817992 2.200591871 2.032993616 2.063850413 2.167955784
