name,bench,implementation,object,trials,seconds_per_trial,median_receiver_gbps,min_receiver_gbps,max_receiver_gbps,median_sender_gbps,median_xdp_map_mpps,oracle_passed,receiver_gbps_samples,sender_gbps_samples,retransmits_samples,xdp_map_count_samples,xdp_map_mpps_samples
ks_pass,pass,kernelscript,results/build/xdp_traffic_stress/ks_pass/perf_pass.ebpf.o,3,5,17.64560739032424,1.299289376975951,18.058070649577278,17.64605043057169,0.0,True,18.058070649577278 17.64560739032424 1.299289376975951,18.058918593407274 17.64605043057169 1.3037200255182366,31 128 4,  ,
c_pass,pass,handwritten_c,results/build/xdp_traffic_stress/handwritten/c_pass.o,3,5,17.89764638444447,17.77982360793516,17.971571593923443,17.903453771044223,0.0,True,17.971571593923443 17.89764638444447 17.77982360793516,17.971851873475543 17.903453771044223 17.780371119409043,3 3 388,  ,
ks_count,count,kernelscript,results/build/xdp_traffic_stress/ks_count/perf_count.ebpf.o,3,5,17.288869245713254,16.20294034585458,17.598925462966204,17.28925297288586,1.4996342898184205,True,17.598925462966204 17.288869245713254 16.20294034585458,17.602594001296023 17.28925297288586 16.203760167414355,194 160 7,7635590 7500013 7027524,1.526594378128302 1.4996342898184205 1.4053527408334416
c_count,count,handwritten_c,results/build/xdp_traffic_stress/handwritten/c_count.o,3,5,15.301045129197622,10.653754170341347,17.287031850455286,15.305395620531359,1.3278700586207723,True,17.287031850455286 15.301045129197622 10.653754170341347,17.287156289284972 15.305395620531359 10.657494241198643,301 114 4,7497796 6641528 4623981,1.4992134813711957 1.3278700586207723 0.9245060899889614
