name,implementation,object,map_name,cc_name,trials,bytes_per_trial,oracle_passed,returncodes,load_ok_samples,attach_ok_samples,client_ok_samples,cc_selected_samples,bytes_received_samples,workload_ok_samples,detach_ok_samples,elapsed_sec_samples,median_elapsed_sec,median_mib_per_sec
ks_generated,kernelscript,results/build/struct_ops_workload/kernelscript/struct_ops_simple.ebpf.o,minimal_congestion_control,minimal_cc,10,1048576,True,0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1,1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576,1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1,0.034653 0.037206 0.031099 0.037501 0.031985 0.030693 0.043146 0.030377 0.037093 0.027525,0.033319,30.061093
c_libbpf,handwritten_c,results/build/struct_ops_workload/handwritten/struct_ops_tcp_cc.o,ks_paper_cc,ks_paper_cc,10,1048576,True,0 0 0 0 0 0 0 0 0 0,1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1,1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576 1048576,1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1,0.043651 0.040474 0.039364 0.036785 0.035756 0.036499 0.036582 0.033912 0.033538 0.035517,0.036541,27.36693
