name,ks_source,hand_bpf_source,hand_user_source,ks_sloc,hand_bpf_sloc,hand_user_sloc,hand_total_sloc,hand_to_ks_ratio,generated_ebpf_c_sloc,generated_user_c_sloc,generated_prog_array_maps,generated_prog_array_entries,generated_tail_call_sites,generated_fallback_sites,generated_loader_update_sites,hand_prog_array_maps,hand_prog_array_entries,hand_tail_call_sites,hand_fallback_sites,hand_loader_update_sites,generated_dir,hand_build_dir
tail_call_dispatch,kernelscript/examples/tail_call.ks,experiments/baselines/tail_call_dispatch.bpf.c,experiments/baselines/tail_call_dispatch_user.c,24,25,57,82,3.417,63,396,1,1,1,1,1,1,1,1,1,1,.tail_call_automation/build/ks_tail_call_dispatch,.tail_call_automation/build/handwritten/tail_call_dispatch
basic_match_tailcall,kernelscript/examples/basic_match.ks,experiments/baselines/basic_match_tailcall.bpf.c,experiments/baselines/basic_match_tailcall_user.c,60,61,68,129,2.15,101,413,1,2,2,2,2,1,2,2,2,2,.tail_call_automation/build/ks_basic_match_tailcall,.tail_call_automation/build/handwritten/basic_match_tailcall
