name,bench,implementation,object,trials,seconds_per_trial,median_receiver_gbps,min_receiver_gbps,max_receiver_gbps,median_sender_gbps,median_tc_map_mpps,oracle_passed,receiver_gbps_samples,sender_gbps_samples,retransmits_samples,tc_map_count_samples,tc_map_mpps_samples
ks_pass,pass,kernelscript,results/build/tc_traffic/ks_pass/tc_pass.ebpf.o,10,1,89.91755152795544,83.6646486098082,97.53630589881836,89.9414053991461,0.0,True,87.13791720023036 91.08951958162002 91.31137082706286 83.6646486098082 97.53630589881836 91.34203597454183 88.74558347429085 87.8032058853467 84.75863662267591 91.66739542984325,87.1609708020598 91.1085240144507 91.34336669325478 83.68653027976818 97.55461425483374 91.3518873392465 88.7742867838415 87.82967533789855 84.7749662993132 91.68615479220948,0 0 0 0 0 0 0 0 0 0,         ,
c_pass,pass,handwritten_c,results/build/tc_traffic/handwritten/c_pass.o,10,1,92.00569676868702,83.7019044024705,103.56885018075404,92.0121041138259,0.0,True,96.6217003967659 92.87867059094945 90.66165163585475 83.7019044024705 94.219745101678 88.46286602576069 90.94204372392036 103.56885018075404 91.13272294642456 99.1810371269366,96.6260460049273 92.88256664452757 90.68102190757546 83.7106802107704 94.24043079170751 88.46825395240539 90.95648068403852 103.59128654673019 91.14164158312421 99.2010369168017,0 0 0 0 0 0 0 0 0 0,         ,
ks_count,count,kernelscript,results/build/tc_traffic/ks_count/tc_count.ebpf.o,10,1,92.96372875570398,83.41607838010198,96.7921139325809,92.98232716669432,0.26587145982221894,True,83.41607838010198 96.7921139325809 89.43799563896195 93.6707017151618 92.53795455294615 84.64894643889377 95.97666917312004 93.54024555113254 93.3895029584618 86.58816661094338,83.4339810775684 96.79858878689427 89.46549450110656 93.68893663028493 92.54849326727985 84.67067115112683 95.9841453576568 93.55014377242391 93.4161610661088 86.61072745314529,0 0 0 0 0 0 0 0 0 0,239101 277376 256257 268437 264825 242579 274755 268104 267805 248252,0.23862637214580198 0.27692046583370356 0.25573147182539885 0.26793114599635887 0.2645284635923131 0.2421815800271754 0.27436677101900814 0.26761480014533434 0.2672144560521248 0.2477626687292597
c_count,count,handwritten_c,results/build/tc_traffic/handwritten/c_count.o,10,1,90.70722220965433,86.12714430320104,95.77577240825886,90.72693097941998,0.2594555632042025,True,86.73447748269051 87.78186492505267 90.38762547761546 91.39666049185566 94.59728045404952 95.77577240825886 86.92270253168981 92.34515587455763 86.12714430320104 91.02681894169321,86.7646876668553 87.78730029121907 90.40350708213036 91.4108020144445 94.61437439100361 95.7802710713936 86.94682600895877 92.3642421579826 86.1404729113813 91.05035487670959,0 0 0 0 0 0 0 0 0 0,248624 251412 259108 261776 271103 274091 249191 264620 246849 260792,0.24804357802741583 0.2510680367895982 0.258629019056707 0.26127435324177584 0.27060805786217 0.27390775571142906 0.248698825025275 0.2641616794860916 0.2464207207872717 0.260282107351698
