name,bench,implementation,object,trials,seconds_per_trial,median_receiver_gbps,min_receiver_gbps,max_receiver_gbps,median_sender_gbps,median_xdp_map_mpps,oracle_passed,receiver_gbps_samples,sender_gbps_samples,retransmits_samples,xdp_map_count_samples,xdp_map_mpps_samples
ks_pass,pass,kernelscript,results/build/xdp_traffic/ks_pass/perf_pass.ebpf.o,10,1,17.351303195436337,16.037776223106043,18.768441970065876,17.355386018435865,0.0,True,17.57297559729143 18.219378718834644 16.27052509724189 17.50514527055699 17.2815260656121 17.324096024740363 16.037776223106043 16.266062146000948 17.378510366132314 18.768441970065876,17.593708105496145 18.225017230983024 16.279423678080818 17.50813454313773 17.28146259480057 17.32606899280022 16.05291837560106 16.28444899264471 17.38470304407151 18.77288344636424,231 0 119 117 7 182 23 4 0 343,         ,
c_pass,pass,handwritten_c,results/build/xdp_traffic/handwritten/c_pass.o,10,1,17.80908189918385,14.783272640145677,19.206126358132824,17.812614668989266,0.0,True,18.2408600998787 18.072798069457225 18.749734089180066 18.261438766925185 16.796328052164068 16.588176309650834 14.783272640145677 19.206126358132824 16.493449980592715 17.545365728910475,18.24268288442052 18.077164019980913 18.7552954359109 18.265193950350227 16.827260083004788 16.588851724038108 14.801238143168694 19.20984624231636 16.50587078819917 17.54806531799762,1 6 0 0 13 11 32 0 52 161,         ,
ks_count,count,kernelscript,results/build/xdp_traffic/ks_count/perf_count.ebpf.o,10,1,17.245463070886515,16.23043351908921,17.917273706305014,17.247505896982567,1.496689497926634,True,16.29562735805742 17.917273706305014 17.783485088973336 17.44245979888964 17.213784376713157 17.277141765059877 17.119599615752545 16.99977063267686 17.396771485705493 16.23043351908921,16.29927152926143 17.92192449111822 17.800621920604264 17.452989034820586 17.21428287258391 17.280728921381222 17.120283443745645 17.002724050410468 17.40177742075363 16.234775615813703,0 0 0 24 15 0 0 0 0 4,1416534 1557942 1547026 1516279 1496322 1502234 1488090 1477623 1511820 1409212,1.4138702684143074 1.554961139495587 1.5433543599776134 1.5134971921608085 1.4941689026113372 1.4992100932419312 1.4859531992994075 1.4750976328525565 1.5100773707141957 1.406354288086608
c_count,count,handwritten_c,results/build/xdp_traffic/handwritten/c_count.o,10,1,17.34203438151577,16.296430491411968,18.82085268065827,17.348498498571196,1.5049510550060927,True,16.651903441654934 18.15775439409943 17.547208870687697 18.82085268065827 16.879282815168022 16.296430491411968 17.136859892343843 17.6676778631615 17.728024144531854 16.918746797415768,16.6721920758337 18.159301488945342 17.553637350077114 18.829861625893255 16.894468215091806 16.313752599240317 17.14335964706528 17.670297573593793 17.7318644091484 16.929943565103823,44 0 0 282 9 68 17 0 0 5,1446052 1576991 1526091 1635064 1466904 1414574 1490426 1534225 1541567 1470229,1.4430979784381373 1.5758611075858608 1.5228442959610111 1.6331499482606386 1.463933678566189 1.4116208891000028 1.487057814051174 1.5333341328688033 1.538542225983716 1.4678613396591298
