name,bench,implementation,object,trials,seconds_per_trial,median_receiver_gbps,min_receiver_gbps,max_receiver_gbps,median_sender_gbps,median_tc_map_mpps,oracle_passed,receiver_gbps_samples,sender_gbps_samples,retransmits_samples,tc_map_count_samples,tc_map_mpps_samples
ks_pass,pass,kernelscript,results/build/tc_traffic_stress/ks_pass/tc_pass.ebpf.o,3,5,85.84502205958506,84.94909688520083,88.71905636172934,85.85113288321884,0.0,True,88.71905636172934 85.84502205958506 84.94909688520083,88.7228177239851 85.85113288321884 84.95059167928571,0 0 0,  ,
c_pass,pass,handwritten_c,results/build/tc_traffic_stress/handwritten/c_pass.o,3,5,93.19077569455344,87.42457909286783,98.87159073350428,93.1942786819789,0.0,True,98.87159073350428 93.19077569455344 87.42457909286783,98.872519872059 93.1942786819789 87.42776087473399,0 0 0,  ,
ks_count,count,kernelscript,results/build/tc_traffic_stress/ks_count/tc_count.ebpf.o,3,5,89.4584746754184,85.9797650537025,92.4045654793333,89.46226637551618,0.25587617538501767,True,89.4584746754184 85.9797650537025 92.4045654793333,89.46226637551618 85.983495313186 92.40936890566904,0 0 0,1279887 1230248 1322310,0.25587617538501767 0.2459556941159865 0.2643595870959591
c_count,count,handwritten_c,results/build/tc_traffic_stress/handwritten/c_count.o,3,5,86.14141896938013,85.52961373692591,93.6972437505637,86.14346870634664,0.24642138381757048,True,93.6972437505637 86.14141896938013 85.52961373692591,93.69821813193812 86.14346870634664 85.53491491264936,0 0 0,1340415 1232394 1223789,0.26806096538864504 0.24642138381757048 0.24466600131630611
