name,implementation,object,map_name,trials,oracle_passed,returncodes,load_ok_samples,attach_ok_samples,detach_ok_samples,elapsed_sec_samples
ks_generated,kernelscript,results/build/struct_ops_compat/kernelscript/struct_ops_simple.ebpf.o,minimal_congestion_control,3,True,0 0 0,1 1 1,1 1 1,1 1 1,0.033715 0.039797 0.033388
c_libbpf,handwritten_c,results/build/struct_ops_compat/handwritten/struct_ops_tcp_cc.o,ks_paper_cc,3,True,0 0 0,1 1 1,1 1 1,1 1 1,0.037681 0.03174 0.028727
