name,implementation,object,trials,pages,rounds,median_bpf_count,median_perf_count,median_elapsed_sec,median_event_rate_mps,min_event_rate_mps,max_event_rate_mps,oracle_passed,returncodes,bpf_count_samples,perf_count_samples,elapsed_sec_samples,event_rate_mps_samples
ks_generated,kernelscript,results/build/perf_event_counter/kernelscript/perf_event_count.ebpf.o,10,65536,4,262147.0,262147.0,0.232070724,1.12960096192332,1.0993140436701263,1.1395724687269306,True,0 0 0 0 0 0 0 0 0 0,262147 262147 262147 262147 262147 262147 262147 262147 262147 262147,262147 262147 262147 262147 262147 262147 262147 262147 262147 262147,0.23846416 0.232910161 0.231059179 0.233176241 0.231817115 0.23136856 0.232324333 0.23003978 0.233409001 0.230659748,1.0993140436701263 1.1255283963330394 1.134544843163318 1.1242440433714687 1.1308354001385963 1.1330277545056253 1.128366523708044 1.1395724687269306 1.1231229253236896 1.1365095222422597
c_libbpf,handwritten_c,results/build/perf_event_counter/handwritten/perf_event_count.o,10,65536,4,262147.0,262147.0,0.231338891,1.1331741704062428,1.1263012160995782,1.1466954762676025,True,0 0 0 0 0 0 0 0 0 0,262147 262147 262147 262147 262147 262147 262147 262147 262147 262147,262147 262147 262147 262147 262147 262147 262147 262147 262147 262147,0.230417215 0.231992714 0.231567453 0.230485055 0.231089965 0.228610826 0.231619138 0.232750348 0.232176396 0.231110329,1.1377057916440836 1.1299794527167781 1.1320545983636137 1.1373709241147978 1.134393698142626 1.1466954762676025 1.131801984342071 1.1263012160995782 1.1290854906714978 1.1342937424488717
