family,name,bench,implementation,object,trials,seconds_per_trial,median_receiver_gbps,min_receiver_gbps,max_receiver_gbps,median_sender_gbps,median_map_mpps,total_retransmits,oracle_passed,receiver_gbps_samples,sender_gbps_samples,retransmits_samples,map_mpps_samples
xdp,ks_pass,pass,kernelscript,results/build/xdp_traffic_stress/ks_pass/perf_pass.ebpf.o,3,5,17.64560739032424,1.299289376975951,18.058070649577278,17.64605043057169,0.0,163,True,18.058070649577278 17.64560739032424 1.299289376975951,18.058918593407274 17.64605043057169 1.3037200255182366,31 128 4,
xdp,c_pass,pass,handwritten_c,results/build/xdp_traffic_stress/handwritten/c_pass.o,3,5,17.89764638444447,17.77982360793516,17.971571593923443,17.903453771044223,0.0,394,True,17.971571593923443 17.89764638444447 17.77982360793516,17.971851873475543 17.903453771044223 17.780371119409043,3 3 388,
xdp,ks_count,count,kernelscript,results/build/xdp_traffic_stress/ks_count/perf_count.ebpf.o,3,5,17.288869245713254,16.20294034585458,17.598925462966204,17.28925297288586,1.4996342898184205,361,True,17.598925462966204 17.288869245713254 16.20294034585458,17.602594001296023 17.28925297288586 16.203760167414355,194 160 7,1.526594378128302 1.4996342898184205 1.4053527408334416
xdp,c_count,count,handwritten_c,results/build/xdp_traffic_stress/handwritten/c_count.o,3,5,15.301045129197622,10.653754170341347,17.287031850455286,15.305395620531359,1.3278700586207723,419,True,17.287031850455286 15.301045129197622 10.653754170341347,17.287156289284972 15.305395620531359 10.657494241198643,301 114 4,1.4992134813711957 1.3278700586207723 0.9245060899889614
tc,ks_pass,pass,kernelscript,results/build/tc_traffic_stress/ks_pass/tc_pass.ebpf.o,3,5,85.84502205958506,84.94909688520083,88.71905636172934,85.85113288321884,0.0,0,True,88.71905636172934 85.84502205958506 84.94909688520083,88.7228177239851 85.85113288321884 84.95059167928571,0 0 0,
tc,c_pass,pass,handwritten_c,results/build/tc_traffic_stress/handwritten/c_pass.o,3,5,93.19077569455344,87.42457909286783,98.87159073350428,93.1942786819789,0.0,0,True,98.87159073350428 93.19077569455344 87.42457909286783,98.872519872059 93.1942786819789 87.42776087473399,0 0 0,
tc,ks_count,count,kernelscript,results/build/tc_traffic_stress/ks_count/tc_count.ebpf.o,3,5,89.4584746754184,85.9797650537025,92.4045654793333,89.46226637551618,0.25587617538501767,0,True,89.4584746754184 85.9797650537025 92.4045654793333,89.46226637551618 85.983495313186 92.40936890566904,0 0 0,0.25587617538501767 0.2459556941159865 0.2643595870959591
tc,c_count,count,handwritten_c,results/build/tc_traffic_stress/handwritten/c_count.o,3,5,86.14141896938013,85.52961373692591,93.6972437505637,86.14346870634664,0.24642138381757048,0,True,93.6972437505637 86.14141896938013 85.52961373692591,93.69821813193812 86.14346870634664 85.53491491264936,0 0 0,0.26806096538864504 0.24642138381757048 0.24466600131630611
