name,source,compile_ok,baseline_build_ok,baseline_failure_class,skeleton,repair_needed,repair_action,removed_map_link_assignments,repaired_build_ok,binary,oracle_passed
struct_ops_simple,examples/struct_ops_simple.ks,True,False,map_link_field_missing,results/build/struct_ops_skeleton_repair/struct_ops_simple/struct_ops_simple.skel.h,True,removed_map_link_assignments,1,True,results/build/struct_ops_skeleton_repair/struct_ops_simple/struct_ops_simple,True
sched_ext_simple,examples/sched_ext_simple.ks,True,False,map_link_field_missing,results/build/struct_ops_skeleton_repair/sched_ext_simple/sched_ext_simple.skel.h,True,removed_map_link_assignments,1,True,results/build/struct_ops_skeleton_repair/sched_ext_simple/sched_ext_simple,True
